EmployeeID,Date,Time In,Time Out,Hours Worked,Status
EMP018,12 01 2026,09.05,17:00,8 hrs,P
EMP036,11 01 2026,10.15,18:30,9 hrs, Present
EMP037,10/01/2026,10:05 AM,19:30,7.5 hrs,PRESENT
emp014,13/01/2026,09:30,13:30,4,HD
 EMP008,17/01/2026,,,-,absent 
EMP011,02/01/2026,08:15,16:15,7.5 hrs,P
 EMP018,22/01/2026,08:55,16:00,9, Present
EMP021,06-01-2026,,,-,ABSENT
EMP025,14.01.2026,09.55,17:00 PM,8 hrs,present
EMP005,07 01 2026,10.00,19:00 PM,9,present
EMP024,08-01-2026,09:05,18:00,9 hrs, Present
EMP017,05 01 2026,09:15 AM,,7.5 hrs,present
EMP021,01/01/2026,,,NA,On Leave
EMP027,05 01 2026,09.55,18.00,8,PRESENT
EMP011,12/01/2026,09:15,18:30,7.5,present
EMP014,19.01.2026,09.30,18:30,8,Present
EMP037,16 01 2026,08:45,16:00,7.5,P
EMP028,17/01/2026,,17:15,,present
EMP027,04/01/2026,09:55 AM,,7.5,present
EMP016,06 01 2026,,,NA,absent 
EMP021,08/01/2026,10.45,18:00,9,present
EMP003,10.01.2026,-,18:30,7.5,PRESENT
emp021,18-01-2026,09:45,18:00 PM,7.5 hrs,Present
EMP008,05-01-2026,08:00,17:30,7.5 hrs,PRESENT
EMP003,03 01 2026,,18:30 PM,8,Present
EMP012,22.01.2026,,,NA,On Leave
EMP003,20 01 2026,,,,Leave 
EMP015,16-01-2026,,,,leave
EMP039,09.01.2026,10:55,19:15 PM,8 hrs,present
EMP007,08-01-2026,08.30,16:15,7.5,PRESENT
EMP003 ,18 01 2026,09:30,,9,present
EMP026,18/01/2026,,,NA,absent 
EMP001,14.01.2026,,18:30,8,P
EMP016,09-01-2026,09:30,,8,present
emp037,20 01 2026,09:15 AM,18:00 PM,9 hrs,Present
EMP008,10/01/2026,,,7.5,P
EMP039,14 01 2026,09:00,18.30,9,Present
EMP030,20-01-2026,,17:30,9,P
EMP031,12.01.2026,09:05,,9,Present
EMP039,07/01/2026,09:00,18:00,7.5,present
EMP003 ,17/01/2026,09:15,,9,Present
EMP033,09/01/2026,09:05,17:00 PM,8,PRESENT
EMP010,11 01 2026,09:00 AM,13:30,4 hrs,half day
EMP033,22/01/2026,09:05,,8,PRESENT
EMP016,21/01/2026,,,NA,Leave 
emp026,06-01-2026,,,NA,absent 
 EMP039,10-01-2026,09:05,17.00,8,present
EMP028,01-01-2026,,,,On Leave
EMP038,05/01/2026,09:00 AM,18:15 PM,7.5,present
EMP027,17 01 2026,09:30,13.30,4,HD
EMP032,05 01 2026,09:55,18:15,9,Present
emp006,17-01-2026,,,NA,Absent
emp007,16 01 2026,,,-,leave
EMP022,07-01-2026,,17:00,9,PRESENT
EMP028,07/01/2026,09:30,13.30,4,half day
emp040,08.01.2026,09:15,17:00,7.5,PRESENT
EMP007,21-01-2026,-,18:15,7.5,PRESENT
EMP014 ,22 01 2026,10:15,-,7.5 hrs,P
EMP035,02.01.2026,,17:00 PM,9,Present
EMP021,12/01/2026,09:55 AM,-,8,present
EMP022,09 01 2026,09:15,17:00 PM,8, Present
EMP018,16/01/2026,09:00,13:00,4 hrs,HD
EMP014,10-01-2026,,,NA,A
EMP003,14/01/2026,09:45 AM,17:00,9,present
EMP039,11 01 2026,09:15,17:00,8,Present
EMP025,09.01.2026,09:30,17:15 PM,9,PRESENT
EMP012,02 01 2026,09:30,18:00 PM,7.5,present
EMP002,13/01/2026,08.00,17.30,9, Present
EMP005,12.01.2026,09:55,17:30,9 hrs,present
EMP011,08 01 2026,09:55,-,9,Present
EMP010,06-01-2026,08.15,17:00,7.5,present
emp036,18/01/2026,08:00,16:30,7.5 hrs,Present
EMP038,15/01/2026,,,-,ABSENT
EMP007,02 01 2026,,,NA,A
EMP025,03-01-2026,09:30 AM,13:00 PM,4,HD
EMP015,08-01-2026,09:00,18:00,8 hrs,present
EMP027,14-01-2026,,18:00 PM,8 hrs,PRESENT
 EMP018,10/01/2026,10:15 AM,19.15,7.5 hrs,Present
EMP007 ,14.01.2026,09:30,18:15,9 hrs,P
EMP026,07/01/2026,09:30 AM,18:15,7.5,PRESENT
EMP028,13/01/2026,-,16.30,8,PRESENT
emp005,21 01 2026,09:15 AM,17:15,7.5,present
EMP040,06/01/2026,09:45,,8 hrs,present
EMP026,02/01/2026,09:15,18:30,9, Present
EMP031,19.01.2026,08:15 AM,16:15,8,P
EMP034,11 01 2026,,,-,On Leave
EMP022,04/01/2026,09:30,17.00,8, Present
emp026,11.01.2026,08.45,17:30,7.5,PRESENT
 EMP022,17-01-2026,,17:15,,P
 EMP011,22.01.2026,09:00,18:00 PM,7.5, Present
EMP013,07/01/2026,,,7.5,present
EMP036,03-01-2026,09:55,18:00,8,present
EMP005,22.01.2026,10:05,19:15 PM,9 hrs,P
emp040,02-01-2026,,,,ABSENT
EMP025,01-01-2026,-,13:00,4,HD
EMP018,14.01.2026,08:15,-,8,PRESENT
emp023,14/01/2026,09:00,18:15,7.5,P
EMP005,11 01 2026,09:00,17.15,7.5,PRESENT
emp040,15 01 2026,10:15,-,8 hrs,PRESENT
EMP039,05.01.2026,09:15 AM,17.00,8,PRESENT
EMP003 ,05 01 2026,,,8 hrs,Present
EMP029,17 01 2026,08:45,17.15,7.5,present
 EMP027,07 01 2026,,18:15,8, Present
EMP009,03.01.2026,08:15 AM,16:30,7.5, Present
EMP032,10-01-2026,,,-,OL
EMP038,22/01/2026,09:05,17:30,7.5 hrs,PRESENT
EMP036,01-01-2026,,18:00 PM,8,present
emp023,07.01.2026,,17.30,,P
EMP038,12 01 2026,09:55,,7.5,Present
 EMP031,01 01 2026,,17:30,8,P
EMP008 ,14/01/2026,09:05,-,,PRESENT
EMP002,05.01.2026,10:55,18:15 PM,8,P
EMP031 ,09/01/2026,,17:00,8 hrs,present
EMP025,13.01.2026,,,,Leave 
EMP026,20-01-2026,09:55,17.00,8 hrs, Present
EMP005 ,10.01.2026,09:55,18.00,7.5, Present
EMP032,01/01/2026,09:55,,8,PRESENT
EMP006 ,15/01/2026,09:05 AM,17:15,9,PRESENT
emp040,05 01 2026,,,,OL
EMP037,05.01.2026,09:05,,8,P
emp027,13 01 2026,09.15,,7.5 hrs,Present
emp011,17-01-2026,09.30,17:00 PM,8,present
 EMP021,13 01 2026,09:00,17:15,7.5,Present
emp022,22 01 2026,09.45,17:15,8 hrs,P
EMP030,13.01.2026,10:15,19:00,8,P
EMP024,17-01-2026,,18:00 PM,9,present
EMP040 ,11.01.2026,09:30 AM,18:15,,present
emp014,08.01.2026,,,-,leave
emp004,15 01 2026,09:55,17:00,8,present
EMP015,20/01/2026,09:45 AM,,7.5 hrs,PRESENT
emp015,19.01.2026,09:45,18:30,8,Present
EMP017,09 01 2026,10:00,19:00,9,Present
EMP029,05.01.2026,08.15,16:15 PM,8 hrs,Present
EMP040,18 01 2026,09:30,17:15,9, Present
 EMP038,03/01/2026,09:05,18.00,8,P
EMP012,19.01.2026,09:30,18:00,7.5, Present
 EMP026,01 01 2026,08:55,,8,P
EMP010,07 01 2026,10:00,19.30,7.5,present
EMP020,22/01/2026,09:00 AM,17.30,8,P
 EMP015,18 01 2026,,,-,On Leave
EMP026,12.01.2026,09:15,18:00,8,P
emp032,07/01/2026,08:55,,8 hrs,present
EMP037,02.01.2026,09:00,13:30 PM,4 hrs,Half Day
EMP016,19-01-2026,10:45,18:30 PM,7.5,PRESENT
EMP037,07.01.2026,,13:00,4,half day
emp019,14.01.2026,,17:00,,present
EMP017,02/01/2026,,,8,P
 EMP001,16/01/2026,09:45,18:00,8 hrs,Present
EMP035,03.01.2026,10:15,18.00,7.5,present
 EMP019,20 01 2026,,,-,Absent
emp039,20/01/2026,09:55 AM,17:30,8,present
emp035,04 01 2026,09:30,18:00,8,P
emp017,22.01.2026,09:55 AM,,9 hrs,present
emp029,02 01 2026,-,17:00,9 hrs,present
EMP007,15-01-2026,10:55,,8,PRESENT
emp029,09-01-2026,09:45 AM,17.15,9,present
