EmployeeID,Date,Time In,Time Out,Hours Worked,Status
EMP018,01/12/2026,09.05,17:00,8 hrs,P
EMP036,01/11/2026,10.15,18:30,9 hrs, Present
EMP037,10/01/26,10:05 AM,19:30,7.5 hrs,PRESENT
emp014,01/13/2026,09:30,13:30,4,HD
 EMP008,17 Jan 2026,,,-,absent 
EMP011,2026.01.02,08:15,16:15,7.5 hrs,P
 EMP018,22/01/26,08:55,16:00,9, Present
EMP021,2026.01.06,,,-,ABSENT
EMP025,01/14/2026,09.55,17:00 PM,8 hrs,present
EMP005,07-01-2026,10.00,19:00 PM,9,present
EMP024,08 Jan 2026,09:05,18:00,9 hrs, Present
EMP017,05/01/26,09:15 AM,,7.5 hrs,present
EMP021,01-01-2026,,,NA,On Leave
EMP027,05 Jan 2026,09.55,18.00,8,PRESENT
EMP011,2026.01.12,09:15,18:30,7.5,present
EMP014,19 Jan 2026,09.30,18:30,8,Present
EMP037,16 Jan 2026,08:45,16:00,7.5,P
EMP028,2026.01.17,,17:15,,present
EMP027,2026.01.04,09:55 AM,,7.5,present
EMP016,06 Jan 2026,,,NA,absent 
EMP021,08 Jan 2026,10.45,18:00,9,present
EMP003,10 Jan 2026,-,18:30,7.5,PRESENT
emp021,18-01-2026,09:45,18:00 PM,7.5 hrs,Present
EMP008,05/01/26,08:00,17:30,7.5 hrs,PRESENT
EMP003,2026.01.03,,18:30 PM,8,Present
EMP012,22/01/26,,,NA,On Leave
EMP003,2026.01.20,,,,Leave 
EMP015,16 Jan 2026,,,,leave
EMP039,2026.01.09,10:55,19:15 PM,8 hrs,present
EMP007,08/01/26,08.30,16:15,7.5,PRESENT
EMP003 ,18/01/26,09:30,,9,present
EMP026,2026.01.18,,,NA,absent 
EMP001,14/01/26,,18:30,8,P
EMP016,01/09/2026,09:30,,8,present
emp037,2026.01.20,09:15 AM,18:00 PM,9 hrs,Present
EMP008,01/10/2026,,,7.5,P
EMP039,2026.01.14,09:00,18.30,9,Present
EMP030,20-01-2026,,17:30,9,P
EMP031,12 Jan 2026,09:05,,9,Present
EMP039,07 Jan 2026,09:00,18:00,7.5,present
EMP003 ,17/01/26,09:15,,9,Present
EMP033,09 Jan 2026,09:05,17:00 PM,8,PRESENT
EMP010,2026.01.11,09:00 AM,13:30,4 hrs,half day
EMP033,01/22/2026,09:05,,8,PRESENT
EMP016,21 Jan 2026,,,NA,Leave 
emp026,06 Jan 2026,,,NA,absent 
 EMP039,2026.01.10,09:05,17.00,8,present
EMP028,2026.01.01,,,,On Leave
EMP038,05 Jan 2026,09:00 AM,18:15 PM,7.5,present
EMP027,2026.01.17,09:30,13.30,4,HD
EMP032,05 Jan 2026,09:55,18:15,9,Present
emp006,17-01-2026,,,NA,Absent
emp007,16-01-2026,,,-,leave
EMP022,07-01-2026,,17:00,9,PRESENT
EMP028,07-01-2026,09:30,13.30,4,half day
emp040,2026.01.08,09:15,17:00,7.5,PRESENT
EMP007,21/01/26,-,18:15,7.5,PRESENT
EMP014 ,22-01-2026,10:15,-,7.5 hrs,P
EMP035,02/01/26,,17:00 PM,9,Present
EMP021,2026.01.12,09:55 AM,-,8,present
EMP022,01/09/2026,09:15,17:00 PM,8, Present
EMP018,16/01/26,09:00,13:00,4 hrs,HD
EMP014,2026.01.10,,,NA,A
EMP003,01/14/2026,09:45 AM,17:00,9,present
EMP039,11/01/26,09:15,17:00,8,Present
EMP025,2026.01.09,09:30,17:15 PM,9,PRESENT
EMP012,01/02/2026,09:30,18:00 PM,7.5,present
EMP002,13 Jan 2026,08.00,17.30,9, Present
EMP005,12-01-2026,09:55,17:30,9 hrs,present
EMP011,08-01-2026,09:55,-,9,Present
EMP010,06/01/26,08.15,17:00,7.5,present
emp036,01/18/2026,08:00,16:30,7.5 hrs,Present
EMP038,01/15/2026,,,-,ABSENT
EMP007,02 Jan 2026,,,NA,A
EMP025,2026.01.03,09:30 AM,13:00 PM,4,HD
EMP015,2026.01.08,09:00,18:00,8 hrs,present
EMP027,14-01-2026,,18:00 PM,8 hrs,PRESENT
 EMP018,10 Jan 2026,10:15 AM,19.15,7.5 hrs,Present
EMP007 ,2026.01.14,09:30,18:15,9 hrs,P
EMP026,07/01/26,09:30 AM,18:15,7.5,PRESENT
EMP028,13-01-2026,-,16.30,8,PRESENT
emp005,21-01-2026,09:15 AM,17:15,7.5,present
EMP040,2026.01.06,09:45,,8 hrs,present
EMP026,02 Jan 2026,09:15,18:30,9, Present
EMP031,19 Jan 2026,08:15 AM,16:15,8,P
EMP034,2026.01.11,,,-,On Leave
EMP022,04/01/26,09:30,17.00,8, Present
emp026,2026.01.11,08.45,17:30,7.5,PRESENT
 EMP022,17 Jan 2026,,17:15,,P
 EMP011,22-01-2026,09:00,18:00 PM,7.5, Present
EMP013,07 Jan 2026,,,7.5,present
EMP036,03/01/26,09:55,18:00,8,present
EMP005,01/22/2026,10:05,19:15 PM,9 hrs,P
emp040,2026.01.02,,,,ABSENT
EMP025,2026.01.01,-,13:00,4,HD
EMP018,2026.01.14,08:15,-,8,PRESENT
emp023,2026.01.14,09:00,18:15,7.5,P
EMP005,01/11/2026,09:00,17.15,7.5,PRESENT
emp040,2026.01.15,10:15,-,8 hrs,PRESENT
EMP039,05-01-2026,09:15 AM,17.00,8,PRESENT
EMP003 ,01/05/2026,,,8 hrs,Present
EMP029,2026.01.17,08:45,17.15,7.5,present
 EMP027,01/07/2026,,18:15,8, Present
EMP009,03/01/26,08:15 AM,16:30,7.5, Present
EMP032,10 Jan 2026,,,-,OL
EMP038,2026.01.22,09:05,17:30,7.5 hrs,PRESENT
EMP036,01-01-2026,,18:00 PM,8,present
emp023,07 Jan 2026,,17.30,,P
EMP038,12/01/26,09:55,,7.5,Present
 EMP031,01-01-2026,,17:30,8,P
EMP008 ,2026.01.14,09:05,-,,PRESENT
EMP002,2026.01.05,10:55,18:15 PM,8,P
EMP031 ,09/01/26,,17:00,8 hrs,present
EMP025,2026.01.13,,,,Leave 
EMP026,2026.01.20,09:55,17.00,8 hrs, Present
EMP005 ,2026.01.10,09:55,18.00,7.5, Present
EMP032,01/01/2026,09:55,,8,PRESENT
EMP006 ,15-01-2026,09:05 AM,17:15,9,PRESENT
emp040,05-01-2026,,,,OL
EMP037,2026.01.05,09:05,,8,P
emp027,13-01-2026,09.15,,7.5 hrs,Present
emp011,01/17/2026,09.30,17:00 PM,8,present
 EMP021,13/01/26,09:00,17:15,7.5,Present
emp022,22-01-2026,09.45,17:15,8 hrs,P
EMP030,2026.01.13,10:15,19:00,8,P
EMP024,17 Jan 2026,,18:00 PM,9,present
EMP040 ,11-01-2026,09:30 AM,18:15,,present
emp014,01/08/2026,,,-,leave
emp004,15 Jan 2026,09:55,17:00,8,present
EMP015,20 Jan 2026,09:45 AM,,7.5 hrs,PRESENT
emp015,01/19/2026,09:45,18:30,8,Present
EMP017,09/01/26,10:00,19:00,9,Present
EMP029,01/05/2026,08.15,16:15 PM,8 hrs,Present
EMP040,01/18/2026,09:30,17:15,9, Present
 EMP038,03/01/26,09:05,18.00,8,P
EMP012,01/19/2026,09:30,18:00,7.5, Present
 EMP026,2026.01.01,08:55,,8,P
EMP010,07-01-2026,10:00,19.30,7.5,present
EMP020,22-01-2026,09:00 AM,17.30,8,P
 EMP015,18-01-2026,,,-,On Leave
EMP026,2026.01.12,09:15,18:00,8,P
emp032,2026.01.07,08:55,,8 hrs,present
EMP037,2026.01.02,09:00,13:30 PM,4 hrs,Half Day
EMP016,19/01/26,10:45,18:30 PM,7.5,PRESENT
EMP037,07 Jan 2026,,13:00,4,half day
emp019,14 Jan 2026,,17:00,,present
