EmployeeID,Date,Time In,Time Out,Hours Worked,Status
EMP018,13.03.2026,09:05,18:00,,PRESENT
emp036,11.03.2026,09:30 AM,13:30,4,half day
EMP037,10-03-2026,,,-,Absent
EMP014,13-03-2026,09:00,17:15,8,Present
EMP008,17-03-2026,08.30,17:00,7.5, Present
EMP011,02/03/2026,09.00,-,4,HD
EMP019,01 03 2026,10:55 AM,19:15,7.5, Present
EMP021,07 03 2026,,,NA,Leave 
EMP025,14.03.2026,10:45 AM,18:30 PM,8,P
emp005,06-03-2026,08:30,17:15,8,PRESENT
EMP024,08 03 2026,10.45,,7.5 hrs,Present
emp017,06 03 2026,10:30,18:30,8,present
EMP021,02-03-2026,09:45,17:00,7.5, Present
EMP027,05.03.2026,10:00,18:15,8 hrs, Present
EMP011,12.03.2026,09:00 AM,13:00,4,Half Day
EMP014,19-03-2026,09:45 AM,18:15,,present
EMP037,16 03 2026,09:00 AM,17:15,9, Present
EMP028,18 03 2026,09:05,18:15,7.5,P
EMP027,04/03/2026,09:55 AM,18:15,8 hrs, Present
emp016,06.03.2026,09.55,18:15 PM,8,present
EMP021,09 03 2026,08:45,17:00,8 hrs,PRESENT
EMP003,09.03.2026,,16:15 PM,7.5 hrs, Present
EMP021,19-03-2026,09:55,17:15 PM,8,Present
EMP008,05/03/2026,09:05,,7.5 hrs,present
EMP003,03.03.2026,,13.30,4,Half Day
EMP012,22.03.2026,10:45,-,9 hrs,Present
EMP003,19 03 2026,09:45,17:00,7.5,Present
emp015,16 03 2026,-,16:15 PM,8 hrs,present
EMP039,09/03/2026,09.15,18.15,8,P
EMP007,08/03/2026,09:05,18:15,7.5,PRESENT
EMP003,17 03 2026,09:15 AM,,7.5, Present
EMP026,18 03 2026,10.15,19:00,9,P
emp001,14-03-2026,,-,8,P
emp016,09.03.2026,09:00,17:30,9 hrs, Present
emp037,20 03 2026,,,,On Leave
EMP008,10 03 2026,10:00 AM,18.30,9 hrs,PRESENT
emp039,14/03/2026,,,NA,absent 
EMP030,21.03.2026,10:05,,8,present
EMP031,13.03.2026,-,18:00,8, Present
EMP039,07 03 2026,09:55,18:00,,P
EMP003,16/03/2026,09:55,17.30,7.5,Present
EMP033,09-03-2026,,,-,leave
EMP010,11/03/2026,09:05,,7.5, Present
EMP033,22-03-2026,09.15,17.00,8 hrs,PRESENT
EMP016,22.03.2026,09:15,-,7.5 hrs, Present
EMP026,06/03/2026,09:15,17:00,7.5, Present
emp039,10 03 2026,09:15,18:15,8, Present
EMP028,01-03-2026,10:55 AM,19:15,9,PRESENT
emp038,05.03.2026,,,NA,ABSENT
EMP027,17-03-2026,09.15,18:30,9 hrs,present
emp032,06.03.2026,09:55,17:00,7.5 hrs,P
EMP006,17.03.2026,-,19:30 PM,9,P
 EMP007,16-03-2026,09:15,18:00 PM,8, Present
EMP022,08-03-2026,10:00 AM,18:30,8,Present
EMP028,07.03.2026,10:15,18:15,9,P
EMP040,08/03/2026,08.15,17:00 PM,7.5,Present
EMP007,21.03.2026,09:05,17:30,7.5 hrs,Present
EMP014,22.03.2026,10:05,18:30,8,Present
