EmployeeID,Month,Basic Pay,Allowance,Deduction,Bonus
EMP002,2026-02,40000,"Rs.5,743",NA,5000
emp001,Jan-26,"₹32,000",2674,1096,2000
EMP006,January 2026,"₹45,000",5864,-,0
EMP035,2026-01,"40,000","₹3,247",-,"₹1,000"
EMP023,Mar-26,32000,"₹2,841",-,
emp025,2026-01,"Rs.40,000","Rs.3,581",1412,
EMP009 ,Jan-26,"32,000","₹3,901",,0
EMP018,February 2026,28000,"Rs.3,461",NA,NA
EMP018,January 2026,"₹28,000","Rs.2,726",-,
EMP007,2026-01,"Rs.32,000","₹4,763",,1000
EMP023,01/2026,32000,"4,124",1227,"₹1,000"
EMP034,March 2026,"32,000","₹2,695","Rs.1,484","₹1,000"
EMP022,2026-03,"28,000",3428,1645,"₹5,000"
 EMP005,Feb-26,52000,"₹5,123",NA,"₹1,000"
EMP016,Jan-26,32000,"₹3,224",,2000
EMP021,2026-03,"Rs.40,000",3716,NA,-
EMP034,January 2026,"₹32,000","₹4,441",,"₹2,000"
emp017,February 2026,"60,000","Rs.6,372","Rs.2,509",-
EMP017,2026-01,"₹60,000","₹5,070",-,NA
EMP026,Feb-26,"68,000",5628,NA,0
 EMP010,03/2026,40000,"Rs.5,919",-,1000
EMP014,March 2026,"Rs.40,000",5649,,0
EMP030,03/2026,60000,"₹7,528",NA,"₹2,000"
 EMP031,2026-03,68000,9093,-,1000
EMP037,2026-03,68000,7760,,2000
EMP013,March 2026,"52,000",5132,,-
EMP006,03/2026,"Rs.45,000","4,551",-,NA
EMP005 ,2026-01,"Rs.52,000","Rs.6,637",NA,0
emp013,01/2026,52000,"Rs.6,023",NA,5000
EMP017,Mar-26,"Rs.60,000","₹7,702",-,1000
EMP036,February 2026,28000,"₹3,431",,"Rs.2,000"
EMP008,03/2026,"Rs.32,000",2630,NA,"Rs.1,000"
emp003,March 2026,"Rs.60,000","Rs.6,465",NA,"5,000"
EMP021,02/2026,40000,"4,213",-,0
emp011,Mar-26,35000,"₹5,230",,0
EMP013,February 2026,52000,"Rs.6,229",2832,NA
EMP010,01/2026,"Rs.40,000","5,495","₹1,740",1000
emp019,February 2026,"35,000",4903,-,NA
EMP027,Mar-26,"Rs.40,000","3,588",,1000
EMP035,March 2026,40000,4799,-,"Rs.1,000"
EMP001,Mar-26,32000,3316,1311,-
EMP027,2026-01,"₹40,000","Rs.3,895",NA,1000
EMP007,Feb-26,"32,000","₹3,938",-,2000
EMP033,2026-03,"45,000",4144,"₹3,027",-
EMP028,03/2026,"₹40,000",5674,,0
 EMP040,01/2026,32000,3612,NA,-
EMP024,03/2026,"₹35,000",4898,-,"₹2,000"
EMP036,Jan-26,28000,"₹4,092",NA,
 EMP039,02/2026,"28,000","₹3,984",NA,-
EMP019,Mar-26,35000,"₹3,966",NA,
EMP034,2026-02,32000,3689,1058,"Rs.5,000"
EMP002,March 2026,"40,000","5,389",NA,-
EMP012,02/2026,"Rs.28,000","2,987",,5000
EMP027,Feb-26,40000,"₹4,046","₹1,777",0
EMP005,Mar-26,"₹52,000","Rs.4,300",NA,"1,000"
EMP030,01/2026,60000,"Rs.8,504",,"Rs.2,000"
emp029,February 2026,68000,7768,4737,5000
EMP014,Jan-26,40000,"₹4,600",NA,5000
emp031,January 2026,68000,"7,929",NA,"Rs.5,000"
EMP024,February 2026,"35,000","Rs.4,272",,"Rs.1,000"
EMP015,2026-02,52000,6432,-,"₹5,000"
EMP012,01/2026,"Rs.28,000","Rs.4,007",-,0
EMP035,2026-02,"₹40,000","Rs.5,871",NA,"₹2,000"
EMP010,February 2026,"₹40,000","Rs.4,097","₹2,620",0
EMP020,03/2026,35000,"Rs.5,169",,"₹5,000"
EMP032,01/2026,"₹32,000","3,770",-,NA
EMP017,2026-01,"₹60,000","₹5,070",-,NA
 EMP016,2026-03,32000,"₹3,142",-,NA
EMP007,Mar-26,"₹32,000","Rs.4,143","Rs.1,871","₹5,000"
EMP006,2026-02,45000,"₹5,315",,"₹2,000"
EMP036,Mar-26,"Rs.28,000",2242,,"₹5,000"
EMP030,Feb-26,"₹60,000",5187,,"Rs.2,000"
EMP032,February 2026,"Rs.32,000",3623,,
emp015,March 2026,"Rs.52,000",6361,-,"₹5,000"
emp004,March 2026,"35,000","₹4,071",,NA
EMP018 ,Mar-26,28000,4111,,"2,000"
emp019,January 2026,"Rs.35,000",3922,-,"Rs.2,000"
,,,,,
EMP039,2026-03,28000,3204,NA,1000
EMP014,02/2026,40000,"4,777",-,1000
EMP028,Jan-26,"₹40,000","₹5,016",-,"Rs.1,000"
emp037,Feb-26,"68,000",8725,-,"1,000"
EMP032,Mar-26,32000,"Rs.4,734","1,676","₹5,000"
 EMP009,02/2026,"Rs.32,000",2823,,"₹2,000"
emp029,2026-03,"Rs.68,000","Rs.5,450",,0
emp037,Jan-26,"Rs.68,000",7848,-,"Rs.1,000"
EMP008,February 2026,"32,000","₹3,804","₹1,373",-
EMP038 ,Feb-26,40000,"Rs.3,384",NA,"₹2,000"
